Reference (don't copy),ID,Title,study period,country,Species (English name),Species (scientific name),subject type,toxicant specific,toxicant group,sample type,group,sample size,no. exposed,"OR if given, proportion exposed",Age Class,Sex,concentration level estimate type,concentration (ND for non-detects),Detection limit (if reported),SD of concentration,minimum,maximum,unit of measure,wet/dry weight?,sublethal effects assessed?,sublethal specific,sublethal type,Notes
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
,,#N/A,,,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,
